Attributs,MIC,CHI2,Pearson
duration,False,False,True
orig_bytes,False,False,True
resp_bytes,False,False,True
missed_bytes,False,False,True
orig_pkts,False,False,True
orig_ip_bytes,False,False,True
resp_pkts,False,False,True
resp_ip_bytes,False,False,True
resumed,False,False,True
established,False,False,True
curve_not-applicable,False,False,True
curve_secp256r1,False,False,True
curve_secp384r1,False,False,True
curve_secp521r1,False,False,True
curve_x25519,False,False,True
conn_state_OTH,False,False,True
conn_state_RSTO,False,False,True
conn_state_RSTR,False,False,True
conn_state_RSTRH,False,False,True
conn_state_S1,False,False,True
conn_state_S3,False,False,True
conn_state_SF,False,False,True
conn_state_SHR,False,False,True
version_TLSv10,False,False,True
version_TLSv11,False,False,True
version_TLSv12,False,False,True
version_TLSv13,False,False,True
ke_DHE,False,False,True
ke_ECDHE,False,False,True
ke_RSA,False,False,True
ke_nan,False,False,True
aut_ECDSA,False,False,True
aut_RSA,False,False,True
aut_nan,False,False,True
bulk_de_3DES_EDE_CBC,False,False,True
bulk_de_AES_128_CBC,False,False,True
bulk_de_AES_128_GCM,False,False,True
bulk_de_AES_256_CBC,False,False,True
bulk_de_AES_256_GCM,False,False,True
bulk_de_CHACHA20_POLY1305,False,False,True
mac_SHA,False,False,True
mac_SHA256,False,False,True
mac_SHA384,False,False,True
